CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,93,-,-,-,"2,485.00",0.7,"1,500","2,404.50","2,641.30","1,500","19,500.00","6,60,700",0.55,0.6,"78,050",-0.7,0.6,34.08,"2,08,934","42,083","87,563"
,-,-,-,-,-,-,"1,500","2,382.35","2,823.25","1,500","19,550.00","1,57,400",0.55,0.6,"26,250",-0.85,0.55,33.17,"19,589","8,685","9,088"
,15,-,-,-,"2,375.00",-,"1,500","2,334.40","2,535.80","3,300","19,600.00","1,31,900",0.6,0.65,"25,450",-0.65,0.65,33.05,"18,399","3,375","4,510"
,-,-,-,-,-,-,"1,500","2,286.30","2,508.60","1,500","19,650.00","1,34,350",0.6,0.65,"34,200",-0.8,0.65,32.4,"6,793","2,627","2,826"
,18,-,-,-,"2,260.00",2.75,"1,500","2,238.40","2,435.75","3,300","19,700.00",150,0.7,0.75,"10,750",-0.7,0.75,32.2,"12,304","1,836","7,917"
,-,-,-,-,-,-,"1,500","2,190.05","2,407.15","1,500","19,750.00","5,400",0.7,0.75,700,-0.9,0.75,31.55,"4,723","1,378","1,452"
,29,2,5,-,"2,269.30",91.65,800,"2,210.95","2,250.55",200,"19,800.00","5,850",0.85,0.9,"6,300",-0.7,0.85,31.29,"22,606","2,739","5,569"
,6,-,-,-,"2,122.00",-,"1,800","2,145.00","2,341.95","1,500","19,850.00","3,300",0.75,0.8,100,-0.7,0.75,30.25,"9,656","2,668","2,684"
,24,11,72,-,"2,131.90",43.9,"5,000","2,127.00","2,149.65",100,"19,900.00",950,0.95,1.15,200,-0.5,1.05,30.64,"13,302",186,"1,529"
,5,-,-,-,"1,724.00",-,"1,800","2,041.75","2,241.25","1,500","19,950.00","18,700",0.85,0.95,100,-0.85,0.85,29.32,"7,070","1,290","1,347"
,322,-29,59,-,"2,058.60",98.25,200,"2,036.75","2,055.75","4,700","20,000.00",400,1.2,1.3,"13,050",-0.4,1.25,29.73,"1,03,007","-3,954","41,881"
,1,-,-,-,"1,949.00",-,"1,500","1,878.30","2,041.70","1,500","20,050.00","1,100",1,1.1,450,-0.65,1.05,28.64,"7,329","1,367","1,421"
,63,-,-,-,"1,800.00",-,"1,800","1,893.00","1,991.25","1,500","20,100.00",200,1.25,1.3,200,-0.55,1.25,28.51,"21,483","-2,078","2,426"
,1,-,-,-,"1,820.00",-,"1,800","1,843.20","1,941.20","1,500","20,150.00","7,200",0.9,1.35,100,-0.6,1.3,27.95,"6,386","1,060","1,429"
,43,-,1,-,"1,803.10",22.65,"3,950","1,802.85","1,876.85","3,950","20,200.00",400,1.2,1.25,"1,050",-0.7,1.25,27.15,"27,489",195,"5,474"
,95,-,-,-,"1,645.00",-,"1,800","1,744.15","1,841.15","1,500","20,250.00","4,000",1.05,1.95,850,-0.75,1.2,26.36,"12,317",988,"1,475"
,172,-2,4,-,"1,744.40",62.3,"3,950","1,726.45","1,764.90","3,950","20,300.00","1,300",1.3,1.4,"1,000",-0.9,1.3,25.92,"41,450","1,138","6,961"
,29,-,-,-,"1,545.50",-,"1,800","1,644.95","1,741.20","1,500","20,350.00",500,1.35,1.55,100,-0.9,1.35,25.35,"15,627",5,"1,689"
,18,-4,4,-,"1,650.00",75.6,200,"1,635.20","1,683.35","1,500","20,400.00","2,000",1.4,1.5,"2,650",-1.15,1.2,24.56,"48,597",-619,"10,526"
,14,-,-,-,"1,450.00",-,"1,500","1,490.40","1,641.25","1,500","20,450.00","2,950",1.25,1.85,"1,800",-1.05,1.45,24.18,"20,750",594,"2,581"
,574,-71,114,-,"1,532.90",64.4,200,"1,539.70","1,549.40",200,"20,500.00","2,650",1.55,1.6,"1,000",-1.15,1.55,23.77,"1,85,997","10,773","55,069"
,8,-3,11,-,"1,515.00",327,400,"1,465.30","1,529.10",200,"20,550.00",150,1.4,1.95,100,-1.2,1.6,23.08,"25,942",602,"2,527"
,99,-2,10,27.14,"1,481.00",113.75,"4,850","1,419.25","1,465.85","3,900","20,600.00","17,850",1.55,1.6,"7,350",-1.45,1.6,22.3,"1,00,839","1,744","15,667"
,8,-,5,-,"1,416.00",369.15,400,"1,369.50","1,416.85",400,"20,650.00",900,1.6,1.95,300,-1.7,1.6,21.69,"27,352",32,"3,380"
,68,-1,60,-,"1,363.90",95,800,"1,324.25","1,354.40",800,"20,700.00","40,450",1.7,2,350,-1.9,1.7,21.15,"1,38,424",-846,"27,049"
,76,-,-,-,"1,240.00",-,"1,800","1,254.95","1,418.30","1,500","20,750.00",400,1.8,2.25,"9,200",-1.55,2.25,21.2,"48,429","6,735","9,729"
,307,-,-,-,"1,191.90",21.4,"1,750","1,151.40","1,289.40","1,500","20,800.00",900,2.25,2.7,"5,550",-1.7,2.3,20.99,"1,66,175","4,017","28,311"
,18,1,5,-,"1,196.00",96,"1,050","1,163.35","1,203.05",150,"20,850.00",950,2.35,2.85,50,-2,2.5,20.04,"61,268","4,833","9,710"
,65,-1,27,23.09,"1,183.00",108.4,250,"1,119.95","1,188.35","1,550","20,900.00","1,500",2.5,3.2,250,-1.8,3.2,19.99,"2,04,022","-10,965","33,863"
,10,-,-,-,918.4,-,"1,800","1,017.00","1,150.55","1,500","20,950.00",400,3.25,3.75,150,-2.2,3.25,19.28,"74,410","6,313","13,349"
,"2,782",-12,"1,937",-,"1,050.50",70.65,50,"1,048.00","1,063.90",500,"21,000.00",500,4.05,4.35,250,-1.8,4.35,19.36,"4,58,839","34,793","1,30,329"
,8,4,21,-,"1,025.00",74.2,"4,350",982.15,"1,005.10","4,150","21,050.00","1,050",4.05,4.8,"1,000",-2.2,4.65,18.77,"88,910","10,278","16,653"
,724,-9,148,-,950.95,71.45,450,945.1,953.3,100,"21,100.00","1,050",5.6,5.7,900,-2.9,5.1,18.62,"2,55,459","32,309","56,623"
,102,-1,71,-,920,68.8,"6,000",883.1,904.5,350,"21,150.00",50,6.35,6.55,"1,850",-2.5,6.55,18.21,"94,376","8,385","14,476"
,576,-57,304,-,843.05,49.7,450,850.15,854.9,150,"21,200.00",250,7.25,7.55,50,-3.35,7.25,17.72,"3,08,493","28,173","61,007"
,163,-,49,14.42,828.45,93.6,200,779.65,812.3,"1,050","21,250.00",900,8.85,9.05,100,-3.55,8.75,17.5,"1,24,723","12,604","20,905"
,943,62,493,-,755,69.45,200,751,797.85,250,"21,300.00",900,10,10.8,150,-4.85,10.05,17.06,"2,80,688","19,632","46,115"
,287,4,861,-,704.9,60,450,704.05,710.7,150,"21,350.00",50,12.65,13.25,100,-5,12.65,16.97,"1,25,164","7,652","17,903"
,"2,084",-105,"1,409",-,668.7,75.7,600,649.6,663.35,500,"21,400.00","1,000",15.45,15.75,800,-5.25,15.8,16.88,"2,47,936","23,975","55,117"
,387,-8,129,-,620.3,60.95,200,609.8,618.45,100,"21,450.00",450,18.65,18.9,150,-6.45,18.55,16.61,"1,45,032","6,842","16,948"
,"5,927",-583,"13,316",-,570,59.5,100,564.1,570.15,250,"21,500.00","1,000",22.4,22.6,50,-8.6,22.4,16.34,"4,68,790","23,143","75,559"
,854,-446,"2,330",-,495.15,26.25,200,518.55,524.6,"1,000","21,550.00",100,26.9,27.3,"1,050",-9.4,27.35,16.2,"2,01,478","12,980","25,353"
,"4,288","-1,167","9,464",8.38,478,53.7,100,474.65,479.65,150,"21,600.00",450,32.3,32.7,600,-11.3,33,16.02,"3,76,272","10,951","50,702"
,"1,223",-320,"1,669",10.85,437.3,55.3,50,431.15,436.4,50,"21,650.00",100,38.7,39.4,500,-12.55,39.25,15.77,"2,15,228",-308,"17,501"
,"17,381","-5,546","37,329",10.18,388.8,48.1,"1,000",388.1,393.8,50,"21,700.00",100,46.15,46.85,450,-15.4,46.25,15.49,"6,14,820","4,008","76,688"
,"2,144",-479,"13,462",10.81,348.2,47.5,200,347.35,352,50,"21,750.00",100,54.85,55.45,800,-18.35,54.85,15.25,"3,32,863","2,896","23,259"
,"19,883","-7,205","1,59,877",11.3,310.05,44.15,"1,000",310,312.3,50,"21,800.00",300,65.15,65.95,800,-22.8,65.5,15.08,"7,52,690","17,202","68,890"
,"11,184","-3,937","63,981",11.75,274.95,42.25,100,270.4,275,50,"21,850.00",300,77.5,78.95,450,-27.8,77.5,14.88,"4,66,484","34,937","56,304"
,"37,518","-19,682","3,99,098",11.72,238.4,37.05,"1,350",238.4,241,250,"21,900.00","1,650",93.6,94.5,"1,750",-30.3,93.6,14.9,"10,72,373","14,737","71,747"
,"16,545","-2,315","3,41,068",11.63,203.75,30,50,204.55,207,550,"21,950.00",50,110.1,111.95,200,-32.7,111,14.84,"6,11,329","8,887","22,773"
,"77,736","11,667","20,64,379",12.05,177.5,30.5,"1,350",175.55,177.5,100,"22,000.00",350,131,132.65,150,-34.55,132.15,14.91,"22,03,595","69,150","1,04,728"
,"32,617","20,165","11,32,958",12.11,150.35,27.5,800,148.15,150.35,50,"22,050.00",300,153.9,155.95,"1,750",-39.05,155.05,14.93,"9,07,490","35,477","38,135"
,"81,152","46,983","15,96,146",12.07,125,23.35,250,123.6,125,"3,700","22,100.00",100,178.6,180,"9,850",-40.65,179.8,14.9,"7,56,345","33,752","40,873"
,"26,191","16,573","6,53,978",12.05,102.75,20.15,50,101.5,103,600,"22,150.00",50,205,210.1,150,-46.85,205.1,14.71,"1,68,772","9,694","11,261"
,"58,395","15,658","12,77,846",11.91,82.05,15.7,550,82.05,83.5,100,"22,200.00",100,236.05,239.3,50,-48.05,238.15,15.01,"2,06,032","7,867","11,190"
,"22,437","12,494","5,09,224",12.08,67.4,14.7,150,66,67.5,200,"22,250.00",200,268.6,273.95,150,-44.65,273.7,15.36,"40,745","1,777","2,506"
,"64,038","37,019","8,68,484",11.97,52.35,11.45,800,52.05,53,150,"22,300.00",50,305,307.5,50,-56.2,306,15.2,"48,078","2,205","3,555"
,"20,134","8,854","4,20,155",11.9,40.25,8.4,450,40.3,41.55,300,"22,350.00","3,600",314.3,348.7,200,-54.25,344.85,15.51,"9,348",609,"1,091"
,"51,170","4,222","6,84,376",12,31.65,7.5,100,30.7,31.7,100,"22,400.00",150,382.75,388.8,100,-61.2,383.6,15.65,"10,512",531,"1,010"
,"16,870",822,"3,46,180",11.93,24.4,5.65,50,23.55,24.05,900,"22,450.00",200,425.3,430.2,200,-76.4,420.3,15.34,"1,337",98,175
,"76,506","23,493","7,88,759",12.06,18.25,4.45,800,17.75,18.5,"3,100","22,500.00",100,469.25,474.7,50,-63.25,470,16.52,"18,732","1,372","2,768"
,"29,191","10,163","3,47,067",11.91,13.25,3.15,100,12.8,13.3,"1,150","22,550.00","5,700",512.2,538.65,600,-66.65,516.55,17.24,726,80,84
,"88,975","25,764","7,01,129",12,9.4,2,50,9.2,9.6,200,"22,600.00",300,561.25,597.6,"2,400",-165.75,558.8,17.24,"1,856",925,927
,"28,063","18,488","3,62,666",12.09,7.1,1.4,100,6.45,7.1,"4,450","22,650.00","7,250",574.05,626.25,150,-524.25,585.45,13.88,25,10,10
,"69,730","36,285","6,43,242",12.11,5.05,0.75,200,4.9,5.05,"7,500","22,700.00",150,657,662.35,150,-53.45,654.15,18.63,573,196,198
,"28,968","19,892","2,98,076",12.07,3.45,0.1,300,3.5,5.5,"5,550","22,750.00",150,705.15,712,150,-521.65,673.75,10.94,48,28,28
,"85,013","44,220","4,91,351",12.43,2.85,0.05,800,2.8,2.85,250,"22,800.00",200,754,760.05,300,-475.45,763.5,22.3,272,79,79
,"19,722","12,272","2,22,443",12.95,2.6,0.35,"1,000",2.3,2.6,500,"22,850.00",300,803.35,834.65,350,-484.35,798.65,20.62,2,1,1
,"44,369","18,317","3,55,293",13.05,1.9,-0.1,"18,300",1.9,1.95,"13,500","22,900.00","1,500",815.75,899.4,"1,800",-,-,-,-,-,-
,"39,228","34,204","2,30,234",13.66,1.85,0.1,750,1.85,2.2,200,"22,950.00","1,500",789.9,947.35,"1,500",-,-,-,-,-,-
,"95,575","35,005","5,59,438",14.11,1.65,0.05,"1,300",1.65,1.7,"50,050","23,000.00",200,951.85,959.25,400,-63.75,950,23.79,359,42,234
,"6,858",-836,"72,222",14.17,1.2,-0.05,"2,350",1.2,1.35,"10,800","23,050.00",150,"1,000.90","1,013.50",200,-449.15,"1,014.20",27.56,2,1,1
,"14,389",215,"1,97,520",14.93,1.3,0.15,"14,250",1.25,1.3,"1,800","23,100.00",200,"1,051.20","1,073.80",600,-376.1,"1,008.90",-,2,1,18
,"7,717",289,"66,424",15.24,1.1,0.1,"42,150",1.1,1.2,"2,050","23,150.00",150,"1,099.50","1,126.65",200,-482.95,"1,072.70",15.73,3,2,2
